post_name,company,date_posted,link
Ingénieur simulation systèmes énergétiques (Dymola),LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-simulation-syst%C3%A8mes-%C3%A9nerg%C3%A9tiques-dymola-at-lr-technologies-groupe-3785021893?position=17&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=k2eX1Sx92YPuOKYqps3PjA%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur Modélisation Fluide H/F,UIMM,2024-06-22,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-mod%C3%A9lisation-fluide-h-f-at-uimm-3956281960?position=18&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=XpY%2BUymzVwpmx%2Fg4fcTJ6Q%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'études CFD F/H,METEOJOB by CleverConnect,2024-07-04,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-f-h-at-meteojob-by-cleverconnect-3964976179?position=19&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=fb%2BYjiTP%2FfrIHpEwML7V6A%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Modeling Engineer,Beyond Aero,2024-07-09,https://fr.linkedin.com/jobs/view/thermal-modeling-engineer-at-beyond-aero-3968002630?position=20&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=%2FaFa0Mlz%2FFXUZLTOZwUcDQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur modélisation/Ingénieure modélisation MBD,Technology & Strategy,2024-07-15,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-mod%C3%A9lisation-ing%C3%A9nieure-mod%C3%A9lisation-mbd-at-technology-strategy-3976647669?position=21&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=NtPFg3D8WzvftubF9x5f%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card
Process Thermal Engineer F/M,Technip Energies,2024-06-26,https://fr.linkedin.com/jobs/view/process-thermal-engineer-f-m-at-technip-energies-3782344060?position=22&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=o7u0UMgo3KhEX8bLHxaLIw%3D%3D&trk=public_jobs_jserp-result_search-card
Rotating Fluid Mechanics Engineer,Beyond Aero,2024-07-10,https://fr.linkedin.com/jobs/view/rotating-fluid-mechanics-engineer-at-beyond-aero-3969520414?position=23&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=1DErhW6lQFmX13paKJKkcg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'études CFD - F/H,LesJeudis,2024-07-14,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-f-h-at-lesjeudis-3976259769?position=24&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=5jTKic93bv%2FDNrWNLb%2Bl4Q%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'études CFD F/H,ES Recrut,2024-06-22,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-f-h-at-es-recrut-3956811979?position=25&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=AJH6xAx3doDgtVDBL1Q3Fg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD liquide (C++),LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-liquide-c%2B%2B-at-lr-technologies-groupe-3862636485?position=26&pageNum=0&refId=cWiIQwqtbjhXcR8Xc584iw%3D%3D&trackingId=FXZTIQddZw099Zzca5HhUw%3D%3D&trk=public_jobs_jserp-result_search-card
