post_name,company,date_posted,link
Ingénieur simulation systèmes énergétiques (Dymola),LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-simulation-syst%C3%A8mes-%C3%A9nerg%C3%A9tiques-dymola-at-lr-technologies-groupe-3785021893?position=17&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=y43hPFM5sdyUka93uH5HVg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur Modélisation Fluide H/F,UIMM,2024-06-22,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-mod%C3%A9lisation-fluide-h-f-at-uimm-3956281960?position=18&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=zHtmv5d4lq9R%2BJ9sryHBHg%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'études CFD F/H,METEOJOB by CleverConnect,2024-07-04,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-f-h-at-meteojob-by-cleverconnect-3964976179?position=19&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=sJNZkeK42pH5TsdampFFtg%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Modeling Engineer,Beyond Aero,2024-07-09,https://fr.linkedin.com/jobs/view/thermal-modeling-engineer-at-beyond-aero-3968002630?position=20&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=IGqh%2Fy1KKVtd%2FEwZhnEiGQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur modélisation/Ingénieure modélisation MBD,Technology & Strategy,2024-07-15,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-mod%C3%A9lisation-ing%C3%A9nieure-mod%C3%A9lisation-mbd-at-technology-strategy-3976647669?position=21&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=IpsJsbgEK%2BpcVfAJxj59Ig%3D%3D&trk=public_jobs_jserp-result_search-card
Process Thermal Engineer F/M,Technip Energies,2024-06-26,https://fr.linkedin.com/jobs/view/process-thermal-engineer-f-m-at-technip-energies-3782344060?position=22&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=hbjc5hN8048y4r5aeJZPOw%3D%3D&trk=public_jobs_jserp-result_search-card
Rotating Fluid Mechanics Engineer,Beyond Aero,2024-07-10,https://fr.linkedin.com/jobs/view/rotating-fluid-mechanics-engineer-at-beyond-aero-3969520414?position=23&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=du3%2FMorn1uFLtXZtB78EEA%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'études CFD - F/H,LesJeudis,2024-07-14,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-f-h-at-lesjeudis-3976259769?position=24&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=TuNaA%2BAyp1FbfT8tEgO%2BCw%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur d'études CFD F/H,ES Recrut,2024-06-22,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-cfd-f-h-at-es-recrut-3956811979?position=25&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=MGpL3GXppyw3GU%2FcbTGnaQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD liquide (C++),LR TECHNOLOGIES - GROUPE,2024-06-25,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-liquide-c%2B%2B-at-lr-technologies-groupe-3862636485?position=26&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=YhaXh8mjJJWIpl19AOQmMA%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur simulation/Ingénieure simulation,Innova Solutions,2024-07-01,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-simulation-ing%C3%A9nieure-simulation-at-innova-solutions-3962769228?position=27&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=WhTb5PJgmloUDpi7e377GQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur Thermique H/F,UIMM,2024-06-22,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-thermique-h-f-at-uimm-3956288150?position=28&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=UhzcxpL24QbOMLeAjJ1HNQ%3D%3D&trk=public_jobs_jserp-result_search-card
Ingénieur CFD – Secteur Aéronautique – Paris (H/F),Astek,2024-06-28,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-cfd-%E2%80%93-secteur-a%C3%A9ronautique-%E2%80%93-paris-h-f-at-astek-3853064148?position=29&pageNum=0&refId=hkj%2Bqw%2FIMszlI1AYu2wyHQ%3D%3D&trackingId=isv2ZbihvgaquSjQkbCfLw%3D%3D&trk=public_jobs_jserp-result_search-card
