post_name,company,date_posted,link
Entry Level - Compressor Aerodynamics,Solar Turbines,2024-07-02,https://www.linkedin.com/jobs/view/entry-level-compressor-aerodynamics-at-solar-turbines-3964892148?position=21&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=U9%2BZvmjTM%2BTNwa%2BCLs1RAQ%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Design Engineer,Heirloom,2024-07-13,https://www.linkedin.com/jobs/view/thermal-design-engineer-at-heirloom-3916428858?position=22&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=psW1WMeZXQj0AUzSMZPidg%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer,Mantel Technologies,2024-07-02,https://www.linkedin.com/jobs/view/thermal-engineer-at-mantel-technologies-3964392656?position=23&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=T046NNqlzY4RRquK%2BPsX%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics Engineer,Larsen & Toubro,2024-05-31,https://www.linkedin.com/jobs/view/computational-fluid-dynamics-engineer-at-larsen-toubro-3925085359?position=24&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=uQtJsC122ZDn2o2T7fuUMg%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Modeling and Simulation Engineer,Qualis Corporation,2023-11-09,https://www.linkedin.com/jobs/view/junior-modeling-and-simulation-engineer-at-qualis-corporation-3759957975?position=25&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=iD%2FlbPLqLg7UDPvSFzSeUg%3D%3D&trk=public_jobs_jserp-result_search-card
Artificial Intelligence FEA Engineer,Altair,2024-07-15,https://www.linkedin.com/jobs/view/artificial-intelligence-fea-engineer-at-altair-3973337129?position=26&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=Dt8gi3QNOHxZSJGB2NjQ7Q%3D%3D&trk=public_jobs_jserp-result_search-card
FEA Stress Analysis Engineer,Structural Integrity Associates,2024-07-02,https://www.linkedin.com/jobs/view/fea-stress-analysis-engineer-at-structural-integrity-associates-3964602791?position=27&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=PpHbR3WgTwbrgLIG8znaKg%3D%3D&trk=public_jobs_jserp-result_search-card
Motorsports Aerodynamics Engineer,Ford Motor Company,2024-07-11,https://www.linkedin.com/jobs/view/motorsports-aerodynamics-engineer-at-ford-motor-company-3973825638?position=28&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=WPYhXMniWOYOM2G8WUu07w%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Lead Engineer,HireKeyz Inc,2024-04-03,https://www.linkedin.com/jobs/view/thermal-lead-engineer-at-hirekeyz-inc-3882022693?position=29&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=ROiKBjkkIOO8YQR52qipGw%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Automotive CFD Engineer,Flexcompute,2024-03-01,https://www.linkedin.com/jobs/view/senior-automotive-cfd-engineer-at-flexcompute-3843903575?position=30&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=y%2Fgb3PRiTOMcHNBMEN0F3Q%3D%3D&trk=public_jobs_jserp-result_search-card
GE Aerospace Research - 2025 Edison Program Internship,GE Aerospace,2024-07-13,https://www.linkedin.com/jobs/view/ge-aerospace-research-2025-edison-program-internship-at-ge-aerospace-3955649922?position=31&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=MRVowZgUVql4XVuF%2FBuo%2BA%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer - Simulation,Our Next Energy (ONE),2024-05-14,https://www.linkedin.com/jobs/view/thermal-engineer-simulation-at-our-next-energy-one-3925326235?position=33&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=Ij0j%2Bx%2BdHvB7j%2BeOuoa6eg%3D%3D&trk=public_jobs_jserp-result_search-card
Performance/Simulation Engineer,Intellectt Inc,2024-06-10,https://www.linkedin.com/jobs/view/performance-simulation-engineer-at-intellectt-inc-3945931939?position=34&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=6pFViz9SVpVIj4ubAFO3XQ%3D%3D&trk=public_jobs_jserp-result_search-card
