post_name,company,date_posted,link
"CFD Engineer, Aberdeen",Genesis,2024-07-09,https://uk.linkedin.com/jobs/view/cfd-engineer-aberdeen-at-genesis-3862925666?position=20&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=m%2B4aitw3QTGm4aYlcjiWZw%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Engineer,Universal Quantum,2024-06-12,https://uk.linkedin.com/jobs/view/mechanical-engineer-at-universal-quantum-3947246610?position=21&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=RtW4OgJKRhQT%2B%2BbLmjoUsA%3D%3D&trk=public_jobs_jserp-result_search-card
Senior CFD Consultant,EqualEngineers,2024-07-12,https://uk.linkedin.com/jobs/view/senior-cfd-consultant-at-equalengineers-3974362314?position=22&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=keSFfGmHciJqPS4Z6GkO%2FA%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Engineer - CFD Process,Andretti Global,2024-07-03,https://uk.linkedin.com/jobs/view/lead-engineer-cfd-process-at-andretti-global-3946615663?position=23&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=Jzdjl2wagJhGAfY5IWZMZQ%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Engineer,SEGULA Technologies,2024-07-10,https://uk.linkedin.com/jobs/view/mechanical-engineer-at-segula-technologies-3971089931?position=24&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=Z2U2Jxbawfd8vk2lL%2FF74g%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Vehicle Dynamicist,MoneyGram Haas F1 Team,2024-06-26,https://uk.linkedin.com/jobs/view/senior-vehicle-dynamicist-at-moneygram-haas-f1-team-3960765841?position=25&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=lNMLOa31U1R9%2FA1AFvtIYQ%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Aerodynamicist,Mercedes-AMG PETRONAS Formula One Team,2024-07-12,https://uk.linkedin.com/jobs/view/senior-aerodynamicist-at-mercedes-amg-petronas-formula-one-team-3954815992?position=26&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=%2B7I8wUkzsjXnbfRyXU6hCA%3D%3D&trk=public_jobs_jserp-result_search-card
Simulation Engineer,Anson McCade,2024-06-21,https://uk.linkedin.com/jobs/view/simulation-engineer-at-anson-mccade-3955648103?position=27&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=n8reT%2Bo7%2FDGnRn%2FJkvZmlw%3D%3D&trk=public_jobs_jserp-result_search-card
Modelling and Simulation Engineer,SkyBridge U.K. Ltd,2024-05-07,https://uk.linkedin.com/jobs/view/modelling-and-simulation-engineer-at-skybridge-u-k-ltd-3916789306?position=28&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=vgRint13JhrNpEqJt6Dr%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Engineer,Assystem,2024-06-18,https://uk.linkedin.com/jobs/view/mechanical-engineer-at-assystem-3952307330?position=29&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=eGOn952q51Flqw%2BCiKtNvw%3D%3D&trk=public_jobs_jserp-result_search-card
Graduate Mechanical Engineer,DCA Design International,2024-07-12,https://uk.linkedin.com/jobs/view/graduate-mechanical-engineer-at-dca-design-international-3962796092?position=30&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=usjZAIW0j7xNdZU2fKSEKg%3D%3D&trk=public_jobs_jserp-result_search-card
Head of CFD,Andretti Global,2024-06-15,https://uk.linkedin.com/jobs/view/head-of-cfd-at-andretti-global-3968863382?position=32&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=cy2HEmzOskHZvm%2Fvx70vTQ%3D%3D&trk=public_jobs_jserp-result_search-card
Chemical and Materials Science Specialist,PhysicsX,2024-03-14,https://uk.linkedin.com/jobs/view/chemical-and-materials-science-specialist-at-physicsx-3853754420?position=33&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=OR82VwQibSrGAg4WjAiAzg%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Engineer Graduate,Planetary Corporation Sdn Bhd,2024-07-12,https://uk.linkedin.com/jobs/view/mechanical-engineer-graduate-at-planetary-corporation-sdn-bhd-3974548934?position=34&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=vBrLyclVf9awJvZoJbAm9w%3D%3D&trk=public_jobs_jserp-result_search-card
Experienced CFD Modeller,ICE Recruit,2024-07-02,https://uk.linkedin.com/jobs/view/experienced-cfd-modeller-at-ice-recruit-3962980758?position=35&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=zXKZPwuNAJibGoc2KNxzfQ%3D%3D&trk=public_jobs_jserp-result_search-card
Project Leader Aerodynamicist,Mane Contract Services,2024-07-10,https://uk.linkedin.com/jobs/view/project-leader-aerodynamicist-at-mane-contract-services-3970871565?position=36&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=zoZFOc3t1KSVd48n%2FsUbGg%3D%3D&trk=public_jobs_jserp-result_search-card
Graduate/Fire Engineer,Vox Network Consultants,2024-06-27,https://uk.linkedin.com/jobs/view/graduate-fire-engineer-at-vox-network-consultants-3962219969?position=37&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=fEqCQMm8SVIYwkKzOZwY0Q%3D%3D&trk=public_jobs_jserp-result_search-card
Contract Powertrain Simulation Engineer,GTS Group Ltd,2024-07-07,https://uk.linkedin.com/jobs/view/contract-powertrain-simulation-engineer-at-gts-group-ltd-3969602025?position=38&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=8ZPEENRd0sSALTMPyuyrpw%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Engineer - CFD Methods,Andretti Global,2024-07-03,https://uk.linkedin.com/jobs/view/lead-engineer-cfd-methods-at-andretti-global-3946619926?position=39&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=76t6J5bAIMzN1mvPQtZQUQ%3D%3D&trk=public_jobs_jserp-result_search-card
Head of Aerodynamics,CATFOSS RECRUITMENT LIMITED,2024-07-05,https://uk.linkedin.com/jobs/view/head-of-aerodynamics-at-catfoss-recruitment-limited-3968551237?position=40&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=CQjonNuhaOgtpifG59NXJQ%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Design Engineer,EVONA,2024-07-03,https://uk.linkedin.com/jobs/view/mechanical-design-engineer-at-evona-3965907421?position=41&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=Fs%2F0w%2FNQpgENT5k5zuaIOg%3D%3D&trk=public_jobs_jserp-result_search-card
Head of Aerodynamics,CATFOSS RECRUITMENT LIMITED,2024-07-06,https://uk.linkedin.com/jobs/view/head-of-aerodynamics-at-catfoss-recruitment-limited-3969115098?position=42&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=igZ13HqUKwkJBD8EkZGGrw%3D%3D&trk=public_jobs_jserp-result_search-card
Process Engineer,Assystem,2024-06-25,https://uk.linkedin.com/jobs/view/process-engineer-at-assystem-3934472177?position=44&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=gWk3m1tIl%2FnZ79MYMfbxyw%3D%3D&trk=public_jobs_jserp-result_search-card
Combustion Engineer,Siemens Energy,2024-07-05,https://uk.linkedin.com/jobs/view/combustion-engineer-at-siemens-energy-3948536004?position=45&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=R0yNAAqWnjuSQJK4Li0sZw%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Engineer - Thermal Attribute,Tata Technologies,2024-07-15,https://uk.linkedin.com/jobs/view/lead-engineer-thermal-attribute-at-tata-technologies-3961634867?position=46&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=Y5q4x0NluqBuZ2JlEDjfww%3D%3D&trk=public_jobs_jserp-result_search-card
